CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Master Beneficiary Summary File (MBSF) Base A/B/C/D Version 2 (V2)
Version — March 2025
SAS name	Label	Type	Length
PTC_SGMT_ID_05	Part C Segment Number - May	CHAR	3
PTC_SGMT_ID_06	Part C Segment Number - June	CHAR	3
PTC_SGMT_ID_07	Part C Segment Number - July	CHAR	3
PTC_SGMT_ID_08	Part C Segment Number - August	CHAR	3
PTC_SGMT_ID_09	Part C Segment Number - September	CHAR	3
PTC_SGMT_ID_10	Part C Segment Number - October	CHAR	3
PTC_SGMT_ID_11	Part C Segment Number - November	CHAR	3
PTC_SGMT_ID_12	Part C Segment Number - December	CHAR	3
PTC_PLAN_TYPE_CD_01	Part C Plan Type Code - January	CHAR	3
PTC_PLAN_TYPE_CD_02	Part C Plan Type Code - February	CHAR	3
PTC_PLAN_TYPE_CD_03	Part C Plan Type Code - March	CHAR	3
PTC_PLAN_TYPE_CD_04	Part C Plan Type Code - April	CHAR	3
PTC_PLAN_TYPE_CD_05	Part C Plan Type Code - May	CHAR	3
PTC_PLAN_TYPE_CD_06	Part C Plan Type Code - June	CHAR	3
PTC_PLAN_TYPE_CD_07	Part C Plan Type Code - July	CHAR	3
PTC_PLAN_TYPE_CD_08	Part C Plan Type Code - August	CHAR	3
PTC_PLAN_TYPE_CD_09	Part C Plan Type Code - September	CHAR	3
PTC_PLAN_TYPE_CD_10	Part C Plan Type Code - October	CHAR	3
PTC_PLAN_TYPE_CD_11	Part C Plan Type Code - November	CHAR	3
PTC_PLAN_TYPE_CD_12	Part C Plan Type Code - December	CHAR	3
Part D
PTD_CNTRCT_ID_01	Part D Contract ID - January	CHAR	5
PTD_CNTRCT_ID_02	Part D Contract ID - February	CHAR	5
PTD_CNTRCT_ID_03	Part D Contract ID - March	CHAR	5
PTD_CNTRCT_ID_04	Part D Contract ID - April	CHAR	5
PTD_CNTRCT_ID_05	Part D Contract ID - May	CHAR	5
PTD_CNTRCT_ID_06	Part D Contract ID - June	CHAR	5
PTD_CNTRCT_ID_07	Part D Contract ID - July	CHAR	5
PTD_CNTRCT_ID_08	Part D Contract ID - August	CHAR	5
PTD_CNTRCT_ID_09	Part D Contract ID - September	CHAR	5
PTD_CNTRCT_ID_10	Part D Contract ID - October	CHAR	5
PTD_CNTRCT_ID_11	Part D Contract ID - November	CHAR	5
PTD_CNTRCT_ID_12	Part D Contract ID - December	CHAR	5
PTD_PBP_ID_01	Part D Plan Benefit Package ID - January	CHAR	3
PTD_PBP_ID_02	Part D Plan Benefit Package ID - February	CHAR	3
PTD_PBP_ID_03	Part D Plan Benefit Package ID - March	CHAR	3
PTD_PBP_ID_04	Part D Plan Benefit Package ID - April	CHAR	3
