CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare Plan Characteristics File — Plan Base File
Version — October 2025
GAP_INNPP_COINS_AVG_1M	Gap Average Expected Cost Sharing - Split Network Standard Retail Coinsurance 1M	NUM	12	X	X
GAP_INNPP_COPAY_1M	Gap Copay Split Network Standard Retail - 1 month supply	NUM	12	X	X
GAP_INNPP_COPAY_2M	Gap Copay Split Network Standard Retail - 2 month supply	NUM	12	X	X
GAP_INNPP_COPAY_3M	Gap Copay Split Network Standard Retail - 3 month supply	NUM	12	X	X
GAP_INNPP_COPAY_DAILY	Gap Copay Split Network Standard Retail - 1 day supply	NUM	12	X	X
GAP_DAYS_INNPP_1M	Gap Split Network Standard Retail - number of days in 1 month supply	NUM	5	X	X
GAP_DAYS_INNPP_2M	Gap Split Network Standard Retail - number of days in 2 month supply	NUM	5	X	X
GAP_DAYS_INNPP_3M	Gap Split Network Standard Retail - number of days in 3 month supply	NUM	5	X	X
GAP_OONP_COINS_1M	Gap Out-of-Network Pharmacy Coinsurance for 1 month supply	NUM	12	X	X
GAP_OONP_COINS_OS	Gap Out-of-Network Pharmacy Coinsurance for other days supply	NUM	12	X	X
GAP_OONP_COPAY_1M	Gap Out-of-Network Pharmacy Copay for 1 month supply	NUM	12	X	X
GAP_OONP_COPAY_OS	Gap Out-of-Network Pharmacy Copay for other days supply	NUM	12	X	X
GAP_DAYS_OONP_1M	Gap Out-of-Network Pharmacy - days in 1 month supply	NUM	5	X	X
GAP_DAYS_OONP_OS	Gap Out-of-Network Pharmacy - days in other day supply	NUM	5	X	X
GAP_MO_COINS_1M	Gap Coinsurance Standard Mail Order - 1 month supply	NUM	12	X	X
GAP_MO_COINS_2M	Gap Coinsurance Standard Mail Order - 2 month supply	NUM	12	X	X
GAP_MO_COINS_3M	Gap Coinsurance Standard Mail Order - 3 month supply	NUM	12	X	X
GAP_MO_COPAY_1M	Gap Copay Standard Mail Order - 1 month supply	NUM	12	X	X
GAP_MO_COPAY_2M	Gap Copay Standard Mail Order - 2 month supply	NUM	12	X	X
GAP_MO_COPAY_3M	Gap Copay Standard Mail Order - 3 month supply	NUM	12	X	X
GAP_MO_COPAY_DAILY	Gap Copay Standard Mail Order - 1 day supply	NUM	12	X	X
GAP_DAYS_MO_1M	Gap Standard Mail Order - number of days in 1 month supply	NUM	5	X	X
GAP_DAYS_MO_2M	Gap Standard Mail Order - number of days in 2 month supply	NUM	5	X	X
GAP_DAYS_MO_3M	Gap Standard Mail Order - number of days in 3 month supply	NUM	5	X	X
GAP_MOPP_COINS_1M	Gap Coinsurance Split Network Preferred Mail Order - 1 month supply	NUM	12	X	X
