CMS Chronic Conditions Warehouse (CCW) Data Dictionary
Medicare-Medicaid Linked Enrollee Analytic Data Set (MMLEADS) — Beneficiary Summary File
August 2021
File Sequence	Long SAS NAME	Label	Type	Length
113	MDCR_FFS_MEDICAL_12	Medicare - Fee-for-Service Medical Coverage Indicator - December	Num	8
114	MDCD_STATE_CD_01	Medicaid - State Alpha Abbreviation - January	Char	2
115	MDCD_STATE_CD_02	Medicaid - State Alpha Abbreviation - February	Char	2
116	MDCD_STATE_CD_03	Medicaid - State Alpha Abbreviation - March	Char	2
117	MDCD_STATE_CD_04	Medicaid - State Alpha Abbreviation - April	Char	2
118	MDCD_STATE_CD_05	Medicaid - State Alpha Abbreviation - May	Char	2
119	MDCD_STATE_CD_06	Medicaid - State Alpha Abbreviation - June	Char	2
120	MDCD_STATE_CD_07	Medicaid - State Alpha Abbreviation - July	Char	2
121	MDCD_STATE_CD_08	Medicaid - State Alpha Abbreviation - August	Char	2
122	MDCD_STATE_CD_09	Medicaid - State Alpha Abbreviation - September	Char	2
123	MDCD_STATE_CD_10	Medicaid - State Alpha Abbreviation - October	Char	2
124	MDCD_STATE_CD_11	Medicaid - State Alpha Abbreviation - November	Char	2
125	MDCD_STATE_CD_12	Medicaid - State Alpha Abbreviation - December	Char	2
126	MDCD_FFS_MEDICAL_01	Medicaid - Fee-for-Service Medical Coverage Indicator - January	Num	8
127	MDCD_ELGBLTY_GRP_CD_01	Medicaid - Eligibility Group Code - January	Char	2
128	MDCD_ABD_01	Medicaid - Aged, Blind, Disabled Indicator - January	Num	8
129	MDCD_FFS_MEDICAL_02	Medicaid - Fee-for-Service Medical Coverage Indicator - February	Num	8
130	MDCD_ELGBLTY_GRP_CD_02	Medicaid - Eligibility Group Code - February	Char	2
131	MDCD_ABD_02	Medicaid - Aged, Blind, Disabled Indicator - February	Num	8
132	MDCD_FFS_MEDICAL_03	Medicaid - Fee-for-Service Medical Coverage Indicator - March	Num	8
133	MDCD_ELGBLTY_GRP_CD_03	Medicaid - Eligibility Group Code - March	Char	2
134	MDCD_ABD_03	Medicaid - Aged, Blind, Disabled Indicator - March	Num	8
135	MDCD_FFS_MEDICAL_04	Medicaid - Fee-for-Service Medical Coverage Indicator - April	Num	8
136	MDCD_ELGBLTY_GRP_CD_04	Medicaid - Eligibility Group Code - April	Char	2
137	MDCD_ABD_04	Medicaid - Aged, Blind, Disabled Indicator - April	Num	8
138	MDCD_FFS_MEDICAL_05	Medicaid - Fee-for-Service Medical Coverage Indicator - May	Num	8
139	MDCD_ELGBLTY_GRP_CD_05	Medicaid - Eligibility Group Code - May	Char	2
140	MDCD_ABD_05	Medicaid - Aged, Blind, Disabled Indicator - May	Num	8
141	MDCD_FFS_MEDICAL_06	Medicaid - Fee-for-Service Medical Coverage Indicator - June	Num	8
142	MDCD_ELGBLTY_GRP_CD_06	Medicaid - Eligibility Group Code - June	Char	2
143	MDCD_ABD_06	Medicaid - Aged, Blind, Disabled Indicator - June	Num	8
144	MDCD_FFS_MEDICAL_07	Medicaid - Fee-for-Service Medical Coverage Indicator - July	Num	8
145	MDCD_ELGBLTY_GRP_CD_07	Medicaid - Eligibility Group Code - July	Char	2
146	MDCD_ABD_07	Medicaid - Aged, Blind, Disabled Indicator - July	Num	8
