document_id,dataset_id,title,document_kind,source_url,local_path,sha256,content_type,extraction_notes
ip-ffs__codebook-ffs-claims_pdf__a4af628b5a,ip-ffs,Data Documentation | ResDAC,pdf,https://www2.ccwdata.org/documents/10280/19022436/codebook-ffs-claims.pdf,data/raw/assets/pdf/a4af628b5ad494c93baa8921ab4d55ef29217d67.pdf,2912e0a84448a26276563499cb98347cece32a116705c048c50859116c76509d,application/pdf,
ip-ffs__data-documentation__fcdee80764,ip-ffs,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/ip-ffs/data-documentation,data/raw/html/documentation_page/fcdee80764dd59910f6190a9dd2c63ce3d8c2906.html,8d965781c4d69c029941cf5e4f70326d75c072a9afbec67a771a8ce1816ac4c4,text/html,
ip-ffs__record-layout-ffs-claims_xlsx__90c19c7ea3,ip-ffs,Data Documentation | ResDAC,xlsx,https://www2.ccwdata.org/documents/10280/19022436/record-layout-ffs-claims.xlsx,data/raw/assets/xlsx/90c19c7ea3b4ad1863786390a8c5400f3dbbbdf2.xlsx,91743fac3666c0903e52d46bac5d17abc4ce25e43ff88b4ad72a44fa96e785b7,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
irf-pai__data-documentation__ad92078087,irf-pai,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/irf-pai/data-documentation,data/raw/html/documentation_page/ad92078087fc9e9ebab9d2fb9b452c0a9d46aa23.html,829ea59104723e4188fd85ca1ffb84118a19271349f35464cf7623a6e1a21a87,text/html,
irf-pai__record-layout-irf_xlsx__7c17ac1756,irf-pai,Data Documentation | ResDAC,xlsx,https://www2.ccwdata.org/documents/10280/19022436/record-layout-irf.xlsx,data/raw/assets/xlsx/7c17ac17564c08a550183914917ae962de8f3862.xlsx,6f42cc56577945e46382deb96e4aa8b3f85c33d278472b3220116f5117bada98,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
kcc-beneficiary__data-documentation__c7e5137b19,kcc-beneficiary,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/kcc-beneficiary/data-documentation,data/raw/html/documentation_page/c7e5137b197338051077371f471615690b82a8c7.html,243a5201c068d6b2c22679ae84148b2352271daad639ecafe57fb69826fda3e6,text/html,
kcc-provider__data-documentation__c4fa50334c,kcc-provider,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/kcc-provider/data-documentation,data/raw/html/documentation_page/c4fa50334c1175ef859ebe88ea9d6412a832ddc1.html,1e0cab1b7b0036e98099b2187adff1fb7b9d2442a0c10a851bc4e31f9073562d,text/html,
lcds__data-documentation__d03f5e35c4,lcds,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/lcds/data-documentation,data/raw/html/documentation_page/d03f5e35c48c181d6d320cd2dab0e8c632d90600.html,e7c55e0e0e8ae87871c9f574282df80bfa018b263d679f137d1c26064b99e1d9,text/html,
max-ip__data-documentation__515e0f4b8a,max-ip,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/max-ip/data-documentation,data/raw/html/documentation_page/515e0f4b8a82429031028f6befb46024fb536839.html,12bd28bb728d8b07c1c0f08e70a04c7bee3527c15df7bea8fb9ee4a772ae46d2,text/html,
max-ip__max-20taf-20availability-20matrix_xlsx__5733e7b321,max-ip,T-MSIS Analytic File Demographic and Eligibility | ResDAC,xlsx,https://resdac.org/sites/datadocumentation.resdac.org/files/2022-10/MAX%20TAF%20Availability%20Matrix.xlsx,data/raw/assets/xlsx/5733e7b321caf5443c6882f53a8ed2ecd7b102fa.xlsx,2c1a3e675ed7df21b7488b326905a0dcdb7f51c59f91cfa4eba1d486a6790c05,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
max-lt__data-documentation__a8432c524b,max-lt,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/max-lt/data-documentation,data/raw/html/documentation_page/a8432c524b85150fc96bbb6683c157ef98a21669.html,f7e595af4de892fe3be3b91256f93fc5092e3a4723307aaa3448d306e1fe3f91,text/html,
max-lt__max-20taf-20availability-20matrix_xlsx__5733e7b321,max-lt,T-MSIS Analytic File Demographic and Eligibility | ResDAC,xlsx,https://resdac.org/sites/datadocumentation.resdac.org/files/2022-10/MAX%20TAF%20Availability%20Matrix.xlsx,data/raw/assets/xlsx/5733e7b321caf5443c6882f53a8ed2ecd7b102fa.xlsx,2c1a3e675ed7df21b7488b326905a0dcdb7f51c59f91cfa4eba1d486a6790c05,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
max-ot__data-documentation__cb6a1fe893,max-ot,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/max-ot/data-documentation,data/raw/html/documentation_page/cb6a1fe893be87f24ba21899636e73ef0ee381c1.html,1b61d687fc504407e9fc29f50be66b87b95b47d6e3e5af4c631e7a5619fba6ec,text/html,
max-ot__max-20taf-20availability-20matrix_xlsx__5733e7b321,max-ot,T-MSIS Analytic File Demographic and Eligibility | ResDAC,xlsx,https://resdac.org/sites/datadocumentation.resdac.org/files/2022-10/MAX%20TAF%20Availability%20Matrix.xlsx,data/raw/assets/xlsx/5733e7b321caf5443c6882f53a8ed2ecd7b102fa.xlsx,2c1a3e675ed7df21b7488b326905a0dcdb7f51c59f91cfa4eba1d486a6790c05,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
max-ps__data-documentation__ee72101e0e,max-ps,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/max-ps/data-documentation,data/raw/html/documentation_page/ee72101e0e61a1b62a9270b09d561b89f8152816.html,c6d0ef224b054fb9c4a30508928d26300f19466777205bfc2024941d84d11bc5,text/html,
max-ps__max-20taf-20availability-20matrix_xlsx__5733e7b321,max-ps,T-MSIS Analytic File Demographic and Eligibility | ResDAC,xlsx,https://resdac.org/sites/datadocumentation.resdac.org/files/2022-10/MAX%20TAF%20Availability%20Matrix.xlsx,data/raw/assets/xlsx/5733e7b321caf5443c6882f53a8ed2ecd7b102fa.xlsx,2c1a3e675ed7df21b7488b326905a0dcdb7f51c59f91cfa4eba1d486a6790c05,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
max-ps__record-layout-max_xlsx__24c312da5a,max-ps,Data Documentation | ResDAC,xlsx,https://www2.ccwdata.org/documents/10280/19022436/record-layout-max.xlsx,data/raw/assets/xlsx/24c312da5a32f99e973f5de6c546195664e72c3a.xlsx,6506464aea05a3e807a680366b3a41ecbb06230f6eb49967e2a4b95018e7a2ca,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
max-rx__data-documentation__245e1542b6,max-rx,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/max-rx/data-documentation,data/raw/html/documentation_page/245e1542b60667a079cb2e389190d43128123fbf.html,600443eda9d13dc092e6a07a9e8ee2d234d1ae09e1d51f2d72b9584cea452d4d,text/html,
max-rx__max-20taf-20availability-20matrix_xlsx__5733e7b321,max-rx,T-MSIS Analytic File Demographic and Eligibility | ResDAC,xlsx,https://resdac.org/sites/datadocumentation.resdac.org/files/2022-10/MAX%20TAF%20Availability%20Matrix.xlsx,data/raw/assets/xlsx/5733e7b321caf5443c6882f53a8ed2ecd7b102fa.xlsx,2c1a3e675ed7df21b7488b326905a0dcdb7f51c59f91cfa4eba1d486a6790c05,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
mbisg__data-documentation__38b915f246,mbisg,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mbisg/data-documentation,data/raw/html/documentation_page/38b915f246a9143b94c1fce3618ed3d184a9ff07.html,e18c95fe93575e9f6e7c268b197713aceb5fc8e68553e4e45e5e96e8192ea0a8,text/html,
mbisg__record-layout-mbisg_xlsx__8339b94387,mbisg,Data Documentation | ResDAC,xlsx,https://www2.ccwdata.org/documents/10280/19022436/record-layout-mbisg.xlsx,data/raw/assets/xlsx/8339b9438785fd135da3bd57eca7910fa46eea2d.xlsx,a9321538f9e132d2a1f3583296ccb1841b63c0a7dc84bf78e2bac13cfd358680,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
mbsf-27-cc__ccw-condition-categories-impact-of-transition-from-27-to-30_pdf__397fc86416,mbsf-27-cc,Master Beneficiary Summary File 30 CCW Chronic Conditions | ResDAC,pdf,https://www2.ccwdata.org/documents/10280/19002256/ccw-condition-categories-impact-of-transition-from-27-to-30.pdf,data/raw/assets/pdf/397fc86416f84595f04fdcac403dfce16ac06e4d.pdf,1133b034d954cb87e88cfdbecfbce99740daac1703ba36cff9e0cf9ac0476bef,application/pdf,
mbsf-27-cc__codebook-mbsf-cc_pdf__67b8f2251b,mbsf-27-cc,Data Documentation | ResDAC,pdf,https://www2.ccwdata.org/documents/10280/19022436/codebook-mbsf-cc.pdf,data/raw/assets/pdf/67b8f2251b8ce41fa22290227e10b8b8ec333559.pdf,006108893d6bb1e3892b785602669233e80fd5128695d825e68d64e7978eafe6,application/pdf,
mbsf-27-cc__data-documentation__2b9d0b9108,mbsf-27-cc,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mbsf-27-cc/data-documentation,data/raw/html/documentation_page/2b9d0b9108c1a0a1122d15cc0b7b6b54dbdb5472.html,43acbf658a6031a6c01b44897bc0ce8f52eeb1391af2e4a682cbde89adfe31c6,text/html,
mbsf-27-cc__record-layout-mbsf-cc_xlsx__9b3251247c,mbsf-27-cc,Data Documentation | ResDAC,xlsx,https://www2.ccwdata.org/documents/10280/19022436/record-layout-mbsf-cc.xlsx,data/raw/assets/xlsx/9b3251247c196c2ff5244785fa3366fd9b900eec.xlsx,ff46545742f6f53a86e039a628dd400749461ffe102bb85ab6b7af4235df7baf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
mbsf-30-cc__ccw-condition-categories-impact-of-transition-from-27-to-30_pdf__397fc86416,mbsf-30-cc,Master Beneficiary Summary File 30 CCW Chronic Conditions | ResDAC,pdf,https://www2.ccwdata.org/documents/10280/19002256/ccw-condition-categories-impact-of-transition-from-27-to-30.pdf,data/raw/assets/pdf/397fc86416f84595f04fdcac403dfce16ac06e4d.pdf,1133b034d954cb87e88cfdbecfbce99740daac1703ba36cff9e0cf9ac0476bef,application/pdf,
mbsf-30-cc__codebook-mbsf-chronic_pdf__0f9abc3685,mbsf-30-cc,Data Documentation | ResDAC,pdf,https://www2.ccwdata.org/documents/10280/19022436/codebook-mbsf-chronic.pdf,data/raw/assets/pdf/0f9abc36852dae6ab7448d07437b996a225a6692.pdf,5e20bb63c821d08772523a7df69bc57bacfe5cdb94eefcbba5d6f9be919bff2c,application/pdf,
mbsf-30-cc__data-documentation__9e2ca0693b,mbsf-30-cc,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mbsf-30-cc/data-documentation,data/raw/html/documentation_page/9e2ca0693b3dbdcb0520118ea85e4cb91daa6b16.html,8930a998348b4dec08ea77807b12eadf394a0ebae918e944e76b4af018e7833c,text/html,
mbsf-30-cc__record-layout-mbsf-chronic_xlsx__fbf7beba01,mbsf-30-cc,Data Documentation | ResDAC,xlsx,https://www2.ccwdata.org/documents/10280/19022436/record-layout-mbsf-chronic.xlsx,data/raw/assets/xlsx/fbf7beba01bf4890eb76a8a9cf8a66fdb3f15943.xlsx,33997f843205c6e37d37362b7e21ca9f36860dbbf466901373afcd6d397e6a26,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
mbsf-base-v2__codebook-mbsf-abcd-v2_pdf__88dec20615,mbsf-base-v2,Data Documentation | ResDAC,pdf,https://www2.ccwdata.org/documents/10280/19022436/codebook-mbsf-abcd-v2.pdf,data/raw/assets/pdf/88dec20615b0691efc1812370c27a4f1825aa109.pdf,844336b7541865e79b6e3e07c0c4a7fad166cd72ac9d6faf8c0b445590386861,application/pdf,
mbsf-base-v2__data-documentation__b91468f33f,mbsf-base-v2,Data Documentation | ResDAC,html,https://resdac.org/cms-data/files/mbsf-base-v2/data-documentation,data/raw/html/documentation_page/b91468f33fb5b52e49387fc35c1714881709422e.html,f3f0bcef0ce1253e4edbf8800c6d4a21e7edf0cbebbb1e09ac9deeea5ec26cf7,text/html,
mbsf-base-v2__record-layout-mbsf-abcd-v2_xlsx__a0ef66affe,mbsf-base-v2,Data Documentation | ResDAC,xlsx,https://www2.ccwdata.org/documents/10280/19022436/record-layout-mbsf-abcd_v2.xlsx,data/raw/assets/xlsx/a0ef66affe71438d4b00c6abcd0c09c66365d4f4.xlsx,519b343d16667d1df1b483edc3c71d592aa856e25b27afc92b26a4e318ec9d81,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,
