variable_id,variable_name,variable_label,definition,source,source_url,source_document,extraction_notes
adjustment-reason-code,ADJUST_RSN_CD,Adjustment Reason Code,,resdac_variable_page,https://resdac.org/cms-data/variables/adjustment-reason-code,data/raw/html/variable_page/b700dc2bcc26989e0d72b4f5d5e2436f7c5b1758.html,
admission-aco-level-all-condition-readmission-measure,SSP_ADM,Admission for ACO-level All Condition Readmission measure,,resdac_variable_page,https://resdac.org/cms-data/variables/admission-aco-level-all-condition-readmission-measure,data/raw/html/variable_page/940caa4927104dc0b6fe10441cc2ba0afde1d5cf.html,
admission-date-hospitalization,ADMSN_DT,Admission date of hospitalization,,resdac_variable_page,https://resdac.org/cms-data/variables/admission-date-hospitalization,data/raw/html/variable_page/058a7a401f0deb73b75976b8f3e77fd44bf13736.html,
admission-date-max,ADMSN_DT,Admission date (MAX),,resdac_variable_page,https://resdac.org/cms-data/variables/admission-date-max,data/raw/html/variable_page/b83f583b7f0ae25c7ce31d089ed068d8a442ec70.html,
admission-date-taf,ADMSM_DT,Admission Date (TAF),,resdac_variable_page,https://resdac.org/cms-data/variables/admission-date-taf,data/raw/html/variable_page/c680327bb4f4bcc8acc68fe776a4ec187588544e.html,
admission-hour,ADMSN_HR,Admission Hour,,resdac_variable_page,https://resdac.org/cms-data/variables/admission-hour,data/raw/html/variable_page/0e012947f72400ffd9a0490d3e9919c73dea86a7.html,
admission-type-code,ADMSN_TYPE_CD,Admission Type Code,,resdac_variable_page,https://resdac.org/cms-data/variables/admission-type-code,data/raw/html/variable_page/0a8a6edd7f2e0d9213b31f6c02867d195ab78fec.html,
admitting-diagnosis-code,ADMTG_DGNS_CD,Admitting Diagnosis Code,,resdac_variable_page,https://resdac.org/cms-data/variables/admitting-diagnosis-code,data/raw/html/variable_page/35a5ef54dfb937f5d687484fc40767f1e177525a.html,
admitting-diagnosis-version-code-icd-9-or-icd-10,ADMTG_DGNS_VRSN_CD,Admitting Diagnosis Version Code (ICD-9 or ICD-10),,resdac_variable_page,https://resdac.org/cms-data/variables/admitting-diagnosis-version-code-icd-9-or-icd-10,data/raw/html/variable_page/f8c21a2fcd9674d3e2b95f7933e847777aa005c2.html,
admitting-provider-identification-number,ADMTG_PRVDR_ID,Admitting Provider Identification Number,,resdac_variable_page,https://resdac.org/cms-data/variables/admitting-provider-identification-number,data/raw/html/variable_page/24b6861eaccff87bc1d161ef4aaf537307eb5cd5.html,
admitting-provider-npi,ADMTG_PRVDR_NPI,Admitting Provider NPI,,resdac_variable_page,https://resdac.org/cms-data/variables/admitting-provider-npi,data/raw/html/variable_page/b02cfc227a5daad9a23ec13e695912ecc4346fb1.html,
admitting-provider-specialty-code,ADMTG_PRVDR_SPCLTY_CD,Admitting Provider Specialty Code,,resdac_variable_page,https://resdac.org/cms-data/variables/admitting-provider-specialty-code,data/raw/html/variable_page/65cf3fd5d2bf82648bbc271565ee2d8d2e7af08c.html,
admitting-provider-taxonomy-code,ADMTG_PRVDR_TXNMY_CD,Admitting Provider Taxonomy Code,,resdac_variable_page,https://resdac.org/cms-data/variables/admitting-provider-taxonomy-code,data/raw/html/variable_page/6bf09f06f297d1b53a7437140743185c82c4c305.html,
admitting-provider-type-code,ADMTG_PRVDR_TYPE_CD,Admitting Provider Type Code,,resdac_variable_page,https://resdac.org/cms-data/variables/admitting-provider-type-code,data/raw/html/variable_page/374bf7e7cf5005424992b71550e923897ae1daea.html,
affiliated-program-type-code,AFLTD_PGM_TYPE_CD,Affiliated Program Type Code,,resdac_variable_page,https://resdac.org/cms-data/variables/affiliated-program-type-code,data/raw/html/variable_page/188d741c67e2d87251064dfa2d0b0ff9a1488b23.html,
age-beneficiary-end-year,AGE_AT_END_REF_YR,Age of beneficiary at end of year,,resdac_variable_page,https://resdac.org/cms-data/variables/age-beneficiary-end-year,data/raw/html/variable_page/5e05317c51f3e06ae2b51b7c22299f8970c71bfd.html,
age-date-admission,BENE_AGE_CNT,Age as of Date of Admission,,resdac_variable_page,https://resdac.org/cms-data/variables/age-date-admission,data/raw/html/variable_page/51875cf3707c6780764707a2a1d6049b2018461a.html,
age-years,AGE_NUM,Age (in years),,resdac_variable_page,https://resdac.org/cms-data/variables/age-years,data/raw/html/variable_page/6b15e4b7297d1d66dc18f3d80d24f151880d1e78.html,
agency-provider-taxonomy-indicator-ever-calendar-year,AGNCY_PRVDR_TXNMY_IND,Agency Provider Taxonomy Indicator — Ever in Calendar Year,,resdac_variable_page,https://resdac.org/cms-data/variables/agency-provider-taxonomy-indicator-ever-calendar-year,data/raw/html/variable_page/1ec5f83a849077bdfc3d6d95d39f0d04b0c2894d.html,
ahc-assistance-or-alignment-track,AHC_TRK_CD,AHC Assistance or Alignment Track,,resdac_variable_page,https://resdac.org/cms-data/variables/ahc-assistance-or-alignment-track,data/raw/html/variable_page/38413af19bbb024beabe5f636e0b4cde2814c461.html,
